archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,2389,26
sources,10,2368,26
sources,10,2368,26
sources,10,2368,26
sources,10,2355,26
sources,10,2369,26
sources,10,2354,26
sources,10,2364,26
sources,10,2349,26
sources,10,2349,26
sources,10,2411,26
sources,10,2359,26
sources,10,2376,26
sources,10,2378,26
sources,10,2388,26
sources,10,2377,26
sources,10,2362,26
sources,10,10813,26
sources,10,2433,26
sources,10,2355,26
sources,10,2366,26
sources,10,2364,26
sources,10,2385,26
sources,10,2365,26
sources,10,2382,26
sources,10,2397,26
sources,10,2375,26
sources,10,12621,10
sources,10,2454,10
sources,10,2350,10
sources,10,2276,10
sources,10,2300,10
sources,10,2243,10
sources,10,2259,10
sources,10,2301,10
sources,10,2279,10
sources,10,2272,10
sources,10,2281,10
sources,10,2328,10
sources,10,2251,10
sources,10,2253,10
sources,10,2304,10
sources,10,2273,10
sources,10,2288,10
sources,10,2257,10
sources,10,2330,10
sources,10,2288,10
sources,10,2289,10
sources,10,2278,10
sources,10,2251,10
sources,10,2258,10
sources,10,2265,10
sources,10,2279,10
sources,10,2277,10
sources,10,2258,10
sources,10,2398,10
sources,10,2261,10
sources,10,14732,224
sources,10,2295,224
sources,10,2293,224
sources,10,2258,224
sources,10,2238,224
sources,10,2238,224
sources,10,2215,224
sources,10,2213,224
sources,10,2230,224
sources,10,2234,224
sources,10,2244,224
sources,10,2216,224
sources,10,2260,224
sources,10,2240,224
sources,10,2211,224
sources,10,2253,224
sources,10,2208,224
sources,10,2221,224
sources,10,2296,224
sources,10,2249,224
sources,10,2209,224
sources,10,2211,224
sources,10,2251,224
sources,10,2229,224
sources,10,2251,224
sources,10,2264,224
sources,10,2224,224
sources,10,2304,224
sources,10,2224,224
sources,10,2215,224
sources,10,10187,3
sources,10,2373,3
sources,10,2253,3
sources,10,2239,3
sources,10,2238,3
sources,10,2223,3
sources,10,2259,3
sources,10,2243,3
sources,10,2280,3
sources,10,2264,3
sources,10,2246,3
sources,10,2219,3
sources,10,2238,3
sources,10,2306,3
sources,10,2256,3
sources,10,2231,3
sources,10,2229,3
sources,10,2220,3
sources,10,2229,3
sources,10,2302,3
sources,10,2236,3
sources,10,2272,3
sources,10,2261,3
sources,10,2239,3
sources,10,2218,3
sources,10,2260,3
sources,10,2227,3
sources,10,2234,3
sources,10,2205,3
sources,10,2228,3
sources,10,7656,1679558
sources,10,2200,1679558
sources,10,2144,1679558
sources,10,2112,1679558
sources,10,2138,1679558
sources,10,2122,1679558
sources,10,2105,1679558
sources,10,2103,1679558
sources,10,2132,1679558
sources,10,2130,1679558
sources,10,2138,1679558
sources,10,2102,1679558
sources,10,2149,1679558
sources,10,2101,1679558
sources,10,2099,1679558
sources,10,2133,1679558
sources,10,2144,1679558
sources,10,2105,1679558
sources,10,2132,1679558
sources,10,2112,1679558
sources,10,2103,1679558
sources,10,2104,1679558
sources,10,2102,1679558
sources,10,2131,1679558
sources,10,2112,1679558
sources,10,2148,1679558
