,task-clock,cycles,instructions,L1-dcache-loads,L1-dcache-load-misses
0,"1,37",1866741,2401402,1325288,28510
0,"3,48",4838273,12225345,7553727,99737
0,"11,70",27163176,88694199,56622571,1300239
0,"51,50",202322885,692209691,446029070,12833849
0,"432,41",1713641768,5491349773,3552741262,123927375
