,task-clock,cycles,instructions,L1-dcache-loads,L1-dcache-load-misses
0,"1,54",2144200,3201929,1517478,45641
0,"5,85",8128935,18515993,9114742,328885
0,"24,73",55815118,138341272,68882339,2931389
0,"180,71",440307108,1087788423,543006557,107221477
0,"1115,13",4428800572,8645872257,4334211030,1353860878
