n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000000,0.016565,0.000652851,0.0158871,0.0161838,0.0163703,0.0166934,0.0196783
20000000,0.033134,0.00277034,0.0318135,0.0322462,0.0324893,0.0328984,0.0491276
30000000,0.0477515,0.00264448,0.0453076,0.0466041,0.0474332,0.0481827,0.0660121
40000000,0.0564915,0.00490134,0.0544327,0.0551762,0.0555122,0.0559228,0.0843053
50000000,0.0697079,0.00511338,0.0675125,0.0682718,0.0685171,0.0690762,0.100932
60000000,0.0856097,0.00631661,0.0819551,0.0838059,0.0841853,0.0847632,0.123641
70000000,0.0999574,0.00801723,0.0957961,0.0974577,0.0981525,0.0987969,0.139364
80000000,0.115489,0.0139654,0.110547,0.111722,0.111982,0.112613,0.190456
90000000,0.127975,0.00996087,0.124943,0.125383,0.126023,0.126793,0.202618
100000000,0.147503,0.0218719,0.139378,0.140231,0.141099,0.142225,0.243588
110000000,0.158272,0.0177867,0.153188,0.153663,0.154337,0.155046,0.257125
120000000,0.171728,0.0148103,0.167107,0.167798,0.169078,0.169937,0.282596
130000000,0.185935,0.0120599,0.1817,0.182297,0.183338,0.184736,0.275358
140000000,0.215137,0.0474799,0.195422,0.197857,0.199547,0.206222,0.490095
150000000,0.228603,0.0437318,0.20931,0.212372,0.214549,0.218196,0.392918
160000000,0.2495,0.0416016,0.224117,0.229419,0.238425,0.250632,0.449097
170000000,0.264352,0.0444778,0.239291,0.243936,0.248948,0.254543,0.443456
180000000,0.266259,0.0218228,0.254191,0.257409,0.25905,0.261154,0.380387
190000000,0.292951,0.0480108,0.269847,0.272384,0.27504,0.2793,0.439051
200000000,0.301649,0.0381772,0.28395,0.288154,0.29069,0.295217,0.494241
210000000,0.318638,0.0371836,0.296916,0.301218,0.303264,0.307912,0.450982
220000000,0.361264,0.068149,0.310355,0.323676,0.332243,0.367565,0.580198
230000000,0.357211,0.0538843,0.325922,0.33215,0.338257,0.356294,0.586547
240000000,0.408045,0.0849923,0.340463,0.361607,0.370746,0.396482,0.636395
250000000,0.393487,0.0565093,0.352932,0.363464,0.371026,0.382682,0.576537
260000000,0.414679,0.0801708,0.369031,0.37673,0.379562,0.385562,0.64795
270000000,0.440559,0.146089,0.382905,0.388223,0.393416,0.413147,1.4227
280000000,0.435833,0.0600181,0.397247,0.402694,0.408334,0.432687,0.621403
290000000,0.45165,0.145225,0.408969,0.414307,0.417163,0.445877,1.55986
300000000,0.478513,0.144451,0.423923,0.4311,0.437571,0.455411,1.53313
310000000,0.548767,0.135699,0.440385,0.454912,0.527758,0.577049,1.38953
320000000,0.548294,0.15587,0.457286,0.466388,0.479736,0.573157,1.45316
330000000,0.528205,0.0899678,0.468287,0.475992,0.486007,0.523309,0.777679
340000000,0.549221,0.135667,0.484365,0.489292,0.494277,0.524569,1.38968
350000000,0.538568,0.0712546,0.496367,0.502817,0.50677,0.516052,0.752803
360000000,0.551009,0.123838,0.508166,0.515741,0.52351,0.550693,1.48816
370000000,0.563531,0.0518385,0.522701,0.530011,0.536288,0.587468,0.755353
380000000,0.617117,0.0978576,0.539578,0.55034,0.560083,0.685529,0.937079
390000000,0.627106,0.103947,0.54815,0.558411,0.565507,0.692674,0.892442
400000000,0.712579,0.183832,0.567365,0.5935,0.639588,0.808657,1.7443
410000000,0.687071,0.155286,0.58477,0.592437,0.599403,0.801772,1.4834
420000000,0.696989,0.130354,0.597511,0.603668,0.623114,0.807044,1.01477
430000000,0.721661,0.261874,0.612295,0.624642,0.639306,0.731438,2.61649
440000000,0.74314,0.164381,0.62408,0.63497,0.658312,0.850594,1.50196
450000000,0.720478,0.159453,0.636041,0.64416,0.656549,0.71999,1.72469
460000000,0.768224,0.280747,0.651279,0.669525,0.690639,0.798047,2.87031
470000000,0.716221,0.0776197,0.663692,0.67104,0.678574,0.725733,0.96125
480000000,0.714963,0.0710237,0.6777,0.68203,0.69102,0.7114,0.982205
490000000,0.758858,0.137513,0.697244,0.705416,0.714549,0.784543,1.76744
500000000,0.798108,0.149906,0.715724,0.721831,0.730822,0.862909,1.79818
