n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000000,0.0431378,0.00118217,0.0416115,0.0423909,0.0430236,0.0436131,0.0479419
20000000,0.0890882,0.00496341,0.0823711,0.085092,0.0881614,0.0917986,0.101267
30000000,0.124558,0.0116735,0.113413,0.116161,0.122499,0.128459,0.164034
40000000,0.165555,0.0107179,0.149274,0.154723,0.167487,0.17374,0.191714
50000000,0.198509,0.0177822,0.18342,0.187813,0.192655,0.206954,0.268022
60000000,0.236018,0.0124797,0.219452,0.22561,0.232382,0.243499,0.259592
70000000,0.317365,0.126841,0.266618,0.290075,0.296935,0.304503,1.00912
80000000,0.328454,0.021899,0.300715,0.310681,0.322766,0.342518,0.397541
90000000,0.349015,0.0114633,0.334519,0.339916,0.345683,0.354431,0.380737
100000000,0.432252,0.11917,0.375816,0.396726,0.41695,0.421095,1.07503
