n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,0.0302256,0.0118049,0.026397,0.0267098,0.026763,0.0270347,0.105745
20000,0.0631873,0.0393167,0.052658,0.0530937,0.0531965,0.0545805,0.344844
30000,0.142183,0.0474589,0.079815,0.12348,0.132981,0.156666,0.404581
40000,0.12287,0.0480204,0.105094,0.105502,0.106494,0.113626,0.402849
50000,0.168771,0.0513325,0.131001,0.135572,0.153417,0.179101,0.425896
60000,0.19892,0.0518845,0.157096,0.175379,0.183,0.204379,0.506952
70000,0.207461,0.0285243,0.183341,0.188303,0.202255,0.219532,0.344915
80000,0.2526,0.0492667,0.209461,0.222819,0.244723,0.261277,0.480726
90000,0.292307,0.067627,0.235546,0.25066,0.278805,0.301487,0.515678
100000,0.39422,0.508371,0.261845,0.264326,0.274284,0.31935,4.07544
