n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100000,0.000306572,6.12784e-05,0.000262863,0.000267305,0.000279244,0.000320288,0.000553385
200000,0.000627861,0.00023905,0.000526944,0.000538826,0.000566317,0.0005985,0.00216201
300000,0.000899554,0.000195403,0.000791765,0.000809717,0.000850501,0.000875785,0.00174764
400000,0.00121844,0.000265266,0.00106825,0.00112548,0.0011604,0.00119765,0.0028348
500000,0.00157276,0.00031318,0.00136186,0.00140068,0.00145321,0.00152448,0.00275538
600000,0.00180909,0.000305851,0.00166143,0.00168958,0.00172679,0.00179811,0.00351587
700000,0.002156,0.000286719,0.001948,0.00201352,0.00207019,0.00214943,0.00377685
800000,0.00244406,0.000283506,0.00225436,0.00233048,0.00238062,0.00242548,0.00430644
900000,0.00278268,0.000326853,0.00251666,0.00261955,0.00266387,0.00281101,0.00478983
1000000,0.00305503,0.00035175,0.00283979,0.00289157,0.00296386,0.0030379,0.0052815
