archivo_original,tamano_original_mb,tiempo_construccion_ms,tamano_estructura_mb
dna,385.216,44578,1396.41
genomic.fna,3185.02,447514,12740.1
genomic.fna,3185.02,420357,12740.1
genomic.fna,3185.02,420426,12740.1
genomic.fna,3185.02,422230,12740.1
genomic.fna,3185.02,419929,12740.1
genomic.fna,3185.02,415624,12740.1
