archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,2707,224
sources,10,2778,224
sources,10,2720,224
sources,10,2694,224
sources,10,2603,224
sources,10,2614,224
sources,10,2695,224
sources,10,2598,224
sources,10,2679,224
sources,10,2574,224
sources,10,2609,224
sources,10,2635,224
sources,10,2640,224
sources,10,2662,224
sources,10,2666,224
sources,10,2825,224
sources,10,2655,224
sources,10,2646,224
sources,10,2622,224
sources,10,2629,224
sources,10,2810,224
sources,10,2672,224
sources,10,2646,224
sources,10,2608,224
sources,10,8616,3
sources,10,927,3
sources,10,751,3
sources,10,775,3
sources,10,747,3
sources,10,753,3
sources,10,757,3
sources,10,763,3
sources,10,812,3
sources,10,793,3
sources,10,758,3
sources,10,742,3
sources,10,747,3
sources,10,758,3
sources,10,744,3
sources,10,786,3
sources,10,739,3
sources,10,745,3
sources,10,752,3
sources,10,759,3
sources,10,754,3
sources,10,744,3
sources,10,789,3
sources,10,761,3
sources,10,769,3
sources,10,790,3
sources,10,750,3
sources,10,738,3
sources,10,747,3
sources,10,759,3
sources,10,123921882,1679558
sources,10,120621433,1679558
sources,10,113633843,1679558
sources,10,114717939,1679558
sources,10,113350576,1679558
sources,10,127091936,1679558
sources,10,115710627,1679558
sources,10,113658955,1679558
sources,10,114461828,1679558
sources,10,113746685,1679558
sources,10,116148264,1679558
sources,10,114390746,1679558
sources,10,113875098,1679558
sources,10,114658877,1679558
sources,10,114933732,1679558
sources,10,113734058,1679558
sources,10,113573058,1679558
sources,10,113713170,1679558
sources,10,114293265,1679558
sources,10,113768198,1679558
sources,10,113557943,1679558
sources,10,113919011,1679558
sources,10,113516263,1679558
sources,10,114128867,1679558
sources,10,114183626,1679558
sources,10,114149844,1679558
sources,10,113717189,1679558
sources,10,113721756,1679558
sources,10,113835913,1679558
sources,10,114100310,1679558
sources,10,15431,8
sources,10,1275,8
sources,10,910,8
sources,10,916,8
sources,10,994,8
sources,10,944,8
sources,10,881,8
sources,10,909,8
sources,10,845,8
sources,10,849,8
sources,10,848,8
sources,10,875,8
sources,10,873,8
sources,10,863,8
sources,10,875,8
sources,10,877,8
sources,10,843,8
sources,10,841,8
sources,10,862,8
sources,10,851,8
sources,10,845,8
sources,10,869,8
sources,10,866,8
sources,10,863,8
sources,10,850,8
sources,10,855,8
sources,10,856,8
sources,10,844,8
sources,10,852,8
sources,10,854,8
sources,10,24459,39
sources,10,1769,39
sources,10,1144,39
sources,10,1029,39
sources,10,1033,39
sources,10,1041,39
sources,10,1031,39
sources,10,1032,39
sources,10,1029,39
sources,10,1039,39
sources,10,1061,39
sources,10,1083,39
sources,10,1027,39
sources,10,1033,39
sources,10,1048,39
sources,10,1063,39
sources,10,1012,39
sources,10,1015,39
sources,10,1011,39
sources,10,1012,39
sources,10,1026,39
sources,10,1031,39
sources,10,1048,39
sources,10,1020,39
sources,10,1064,39
sources,10,1039,39
sources,10,1035,39
sources,10,1055,39
sources,10,1052,39
sources,10,1020,39
sources,10,113599010,1679558
sources,10,114642373,1679558
sources,10,114873028,1679558
sources,10,114223663,1679558
sources,10,113742872,1679558
sources,10,114875260,1679558
sources,10,113625164,1679558
sources,10,114413210,1679558
sources,10,113859061,1679558
sources,10,114140865,1679558
sources,10,114988289,1679558
sources,10,115503341,1679558
sources,10,113957796,1679558
sources,10,114518255,1679558
sources,10,114247046,1679558
sources,10,114477000,1679558
sources,10,113773320,1679558
sources,10,114639591,1679558
sources,10,114156757,1679558
sources,10,114663898,1679558
sources,10,113770717,1679558
sources,10,114679407,1679558
sources,10,113648761,1679558
sources,10,114486507,1679558
sources,10,114080841,1679558
sources,10,114455663,1679558
sources,10,113579527,1679558
sources,10,114642414,1679558
sources,10,114017295,1679558
sources,10,115854999,1679558
sources,10,30626,106
sources,10,3611,106
sources,10,2129,106
sources,10,1696,106
sources,10,1600,106
sources,10,1600,106
sources,10,1597,106
sources,10,1587,106
sources,10,1620,106
sources,10,1689,106
sources,10,1638,106
sources,10,1569,106
sources,10,1644,106
sources,10,1591,106
sources,10,1628,106
sources,10,1593,106
sources,10,1571,106
